frequency_THz_declared,omega_J_legacy,phdos_returned_in_legacy_states_per_THz
8.950000000000000178e-01,5.930332784250000066e-22,3.510833415243903377e-04
9.000000000000000222e-01,5.963463135000000040e-22,3.558954484182777771e-04
9.050000000000000266e-01,5.996593485750000014e-22,3.607596377059183921e-04
9.100000000000000311e-01,6.029723836499999988e-22,3.656756213713554496e-04
9.150000000000000355e-01,6.062854187249999962e-22,3.706434153142159965e-04
9.200000000000000400e-01,6.095984537999999936e-22,3.756629425113465525e-04
9.250000000000000444e-01,6.129114888749999910e-22,3.807343076266016322e-04
9.300000000000000488e-01,6.162245239499999884e-22,3.858574374766161603e-04
9.350000000000000533e-01,6.195375590249999858e-22,3.910323687004272101e-04
9.400000000000000577e-01,6.228505940999999833e-22,3.962590745756718524e-04
9.450000000000000622e-01,6.261636291749999807e-22,4.015375138499085203e-04
9.500000000000000666e-01,6.294766642499999781e-22,4.068678467005077131e-04
9.550000000000000711e-01,6.327896993249999755e-22,4.122499430750457394e-04
9.599999999999999645e-01,6.361027343999999729e-22,4.176838086713858958e-04
9.649999999999999689e-01,6.394157694749999703e-22,4.231694563758389618e-04
9.699999999999999734e-01,6.427288045499999677e-22,4.287069327310463144e-04
9.749999999999999778e-01,6.460418396249999651e-22,4.342960537522880249e-04
9.799999999999999822e-01,6.493548746999999625e-22,4.399371089688834495e-04
9.849999999999999867e-01,6.526679097749999599e-22,4.457583946308724511e-04
9.899999999999999911e-01,6.559809448499999574e-22,4.518495427089689546e-04
9.949999999999999956e-01,6.592939799249999548e-22,4.580636678462477406e-04
1.000000000000000000e+00,6.626070149999999522e-22,4.644010229249012091e-04
1.005000000000000115e+00,6.659200500750000436e-22,4.708644750000001993e-04
1.010000000000000009e+00,6.692330851499999470e-22,4.774459651851850920e-04
1.015000000000000124e+00,6.725461202250000384e-22,4.853687920731710142e-04
1.020000000000000018e+00,6.758591552999999418e-22,4.943851571428569585e-04
1.024999999999999911e+00,6.791721903749998452e-22,5.035031719512193023e-04
1.030000000000000027e+00,6.824852254499999366e-22,5.126870004926105699e-04
1.034999999999999920e+00,6.857982605249999340e-22,5.219540853658537465e-04
1.040000000000000036e+00,6.891112955999999315e-22,5.313052644067797108e-04
1.044999999999999929e+00,6.924243306749999289e-22,5.407395060975610365e-04
1.050000000000000044e+00,6.957373657500000203e-22,5.502771295202955881e-04
1.054999999999999938e+00,6.990504008249999237e-22,5.598788128048779638e-04
1.060000000000000053e+00,7.023634359000000151e-22,5.695648105263159287e-04
1.064999999999999947e+00,7.056764709749999185e-22,5.793337006097559923e-04
1.070000000000000062e+00,7.089895060500000100e-22,5.891866457317074778e-04
1.074999999999999956e+00,7.123025411249999133e-22,5.991430682926830384e-04
1.080000000000000071e+00,7.156155762000000048e-22,6.091400317073174210e-04
1.084999999999999964e+00,7.189286112749999081e-22,6.191610658536584808e-04
1.090000000000000080e+00,7.222416463499999996e-22,6.292053121951219448e-04
1.094999999999999973e+00,7.255546814249999030e-22,6.392725902439022308e-04
1.100000000000000089e+00,7.288677164999999944e-22,6.493832214285716721e-04
1.104999999999999982e+00,7.321807515749998978e-22,6.594968158536582614e-04
1.110000000000000098e+00,7.354937866499999892e-22,6.696336820689655338e-04
