time,ue_0,ue_1,uph_0,uph_1,escape,total
1.762500000000000000e+01,4.903924612744071654e-01,3.747306380360917455e-01,1.867474307105659870e-02,7.163993701350459056e-03,2.092977190943769994e-01,1.100259555177282911e+00
1.775000000000000000e+01,4.898367535558890151e-01,3.750761352136183779e-01,1.855039788980776885e-02,7.181269603138948181e-03,2.096149989148288206e-01,1.100259555177283133e+00
1.787500000000000000e+01,4.892843517397268971e-01,3.754183584523350659e-01,1.842804125592288622e-02,7.198185152499840186e-03,2.099306185767982058e-01,1.100259555177282911e+00
1.800000000000000000e+01,4.887352593763141240e-01,3.757573343775707508e-01,1.830761437846596673e-02,7.214743957875704994e-03,2.102446030870564198e-01,1.100259555177282911e+00
1.812500000000000000e+01,4.881894785600475739e-01,3.760930894529498913e-01,1.818906091288148563e-02,7.230949644431309935e-03,2.105569766069727011e-01,1.100259555177283133e+00
1.825000000000000000e+01,4.876470100099888905e-01,3.764256499780073706e-01,1.807232684769939646e-02,7.246805851501196202e-03,2.108677624900860970e-01,1.100259555177282911e+00
1.837500000000000000e+01,4.871078531494316133e-01,3.767550420858127302e-01,1.795736039275813017e-02,7.262316230118165405e-03,2.111769833191624590e-01,1.100259555177283133e+00
1.850000000000000000e+01,4.865720061854970080e-01,3.770812917405163001e-01,1.784411186743412384e-02,7.277484440610220914e-03,2.114846609432253499e-01,1.100259555177282911e+00
1.862500000000000000e+01,4.860394661898788105e-01,3.774044247347339565e-01,1.773253358736693458e-02,7.292314150253545110e-03,2.117908165150497179e-01,1.100259555177282911e+00
1.875000000000000000e+01,4.855102291764220590e-01,3.777244666871056866e-01,1.762257975549367042e-02,7.306809031021209086e-03,2.120954705272402596e-01,1.100259555177282911e+00
1.887500000000000000e+01,4.849842900913448052e-01,3.780414430466108033e-01,1.751420647083814716e-02,7.320972758232153522e-03,2.123986428102570267e-01,1.100259555177282911e+00
1.900000000000000000e+01,4.844616429135306657e-01,3.783553790882115964e-01,1.740737158902531251e-02,7.334809008209039645e-03,2.127003525783062732e-01,1.100259555177282911e+00
1.912500000000000000e+01,4.839422807251536063e-01,3.786662999107473504e-01,1.730203462281555693e-02,7.348321456282294606e-03,2.130006184622841303e-01,1.100259555177282911e+00
1.925000000000000000e+01,4.834261957544296884e-01,3.789742304369426718e-01,1.719815668023824337e-02,7.361513775114682592e-03,2.132994585305575952e-01,1.100259555177282911e+00
1.937500000000000000e+01,4.829133794265689783e-01,3.792791954127089360e-01,1.709570039171823264e-02,7.374389633007832207e-03,2.135968903132789143e-01,1.100259555177282911e+00
1.950000000000000000e+01,4.824038224118485374e-01,3.795812194066040535e-01,1.699462984112363323e-02,7.386952692294460054e-03,2.138929308254122752e-01,1.100259555177282911e+00
1.962500000000000000e+01,4.818975146712217161e-01,3.798803268094225749e-01,1.689491050017495957e-02,7.399206607808652553e-03,2.141875965886549660e-01,1.100259555177282911e+00
1.975000000000000000e+01,4.813944454998778100e-01,3.801765418338871605e-01,1.679650916565570556e-02,7.411155025426774401e-03,2.144809036524354673e-01,1.100259555177282911e+00
1.987500000000000000e+01,4.808946035691690213e-01,3.804698885144080500e-01,1.669939389886446884e-02,7.422801580671373536e-03,2.147728676141698878e-01,1.100259555177282689e+00
2.000000000000000000e+01,4.803979769673170086e-01,3.807603907068869420e-01,1.660353396674861537e-02,7.434149897370614588e-03,2.150635036389596244e-01,1.100259555177282689e+00
